Sentence,Label
msc,c6
bsc,c8
premasters faculty engineering shams university started 10/2013,c6
computer control systems engineering shams university asu,c8
general degree,c13
final year grade good,c13
asu real time operating system,c11
school el mohamadia language school,c11
obtaining employment computer engineer experience software hardware,c11
engineering fully utilized,c11
participating developing new technologies electronics computer industry,c11
embedded systems diploma amit learning 26 1 2013 26 3 2013,c1
embedded systems overview session tiec technology innovation entrepreneurship,c1
"android applications development java essential ""asga academy"" 6 / 2012",c1
c++ course ainshams university,c1
vhdl course september 2011,c1
java course november 2011,c1
one month training invensys 1 7 2012 30 7 2012,c5
training west cairo electrical power station 7 / 2011,c5
computer organization project using c programming language convert mips assembly code,c2
machine code,c2
cpu scheduling using c++ fcfs shortest jobfirst priority rr,c2
implementation dynamic storage allocation algorithms contiguous memory using c++ first,c2
fit best fit,c2
program using c++ capable calculating final value expressions given rpn,c2
using stack class given knowing algorithm analyze,c2
linked list project using c++ programming language project adds deletes linked list,c2
matlab genetic algorithm text recognition image enhancement engines,c2
graduation project asu real time operating system,c14
objective project allow developing embedded applications using java,c2
programming language required build embedded operating system able execute java,c2
applications operating system free rtos arm7 microcontroller consists three,c2
3 java virtual machine jvm responsible interpreting executing java binaries,c2
matlab tools simulink image processing optimal control etc,c2
microcontroller embedded systems,c2
hardware description languages verilog vhdl,c2
languages c c++ java,c2
software engineering development testing techniques models,c2
computer networks,c2
artificial computational intelligence techniques,c2
digital optimal control systems systems simulations,c2
languages arabic,c4
native language,c4
english good,c4
automotive moderator student activity,c10
2011 2016 computer communication engineering,c8
cairo university egypt,c12
overall grade good,c13
studied subjects circuits electronics programming logic design life skills basic,c2
engineering accounting management,c2
igcse saint fatima egypt,c11
personal achievements mechanical electrical elds,c2
arabic fluent,c4
english advanced,c4
advanced microsoft windows information technology,c2
intermediate c/c++ microsoft ofce,c2
beginner matlab vhdl verilog c#,c2
beginner technical writing teaching,c2
problem solver innovative handles stress team player supportive,c3
like automotive travelling education,c11
career opportunity communication embedded fields technical analytical organization,c11
communication skills would employed enhanced,c11
senior student department electronics communications engineering faculty engineering cairo,c12
muscles controlled robot graduation project,c14
main objective project build control robot help people hard,c14
tasks robot controlled via several methods main one signals sensors fixed,c14
item used project arduino zigbee ip camera micro controllers robot arm car,c14
chapped robot,c14
general petroleum company gpc summer training july 2012 september 2013,c5
department communications control department,c5
trained dcs valves motors instrumentation,c5
iron steel egyptian company summer training july 2012 september 2012,c5
department communications department instruments maintains department,c5
trained communication systems sensors,c5
network training center south cairo july 2011,c5
department communications control department,c5
cece communications electronics club engineers july 2010,c10
training basics analog digital circuits,c2
digital signal processing,c2
advanced communication systems,c2
computer control systems,c2
muscles controlled robot graduation project,c14
general purpose microprocessor using vhdl tested onto fpga,c2
8 bit successive approximation analog digital converter,c14
automated wireless controlled via computer line tracking vehicle,c14
matlab simulink good,c2
data structures via c++ good,c2
simulation software max plus quartus multisim proteus dev c cadence good,c2
faculty students union 2010 2011,c10
sports committee member,c10
participant human resources courses,c10
cece communications electronics club engineers 2010 2012,c10
offers workshops session events trainings students,c10
pr committee member 2010 2011,c10
hr committee member 2011 2012,c10
gate go ahead take experiences 2010 2012,c10
marketing committee member,c10
faculty acting team 2011 2012,c10
coordinator comm 2013 comm 2014 students 3 years row,c10
volunteer resala charity org 2009 till,c10
arabic native,c4
english good,c4
seeking creative position develop enhance skills earn experience,c11
electronics communication field,c11
bachelor electronics communication engineering expected may 2016,c9
faculty engineering cairo university,c12
certificate general secondary education 2011,c11
el mosheer ahmed ismail secondary school cairo egypt,c11
summer internship benha electronics katron 2013 2 weeks,c5
arabic native language,c4
english good,c4
coordinating member zewail city friends 2011 2013,c10
fundraising public relation member ist inducing scientific thinking 2013 2014,c10
youth development project member ieee cairo university student branch 2013 2014,c10
windows internet good,c2
microsoft office good,c2
coding languages c++ matlab vhdl,c2
simulation programs multisim cadence,c2
good presentation skills,c3
good communication skills,c3
team work skills,c3
self motivated,c3
self learner,c3
person intends focus tasks targets till done best,c3
possible way taking care technical details,c3
expert web developer certified php programmer,c2
currently studying electrical power engineering 3rd year,c9
electrical power machines department,c12
faculty engineering cairo university expected graduation year 2015,c12
grade average good last year excellent,c13
hadayek elmaadi exp lang school cairo egypt,c11
stp steps toward progress,c10
android workshop member,c10
ieee cairo university student brach | classic control workshop,c10
member,c10
ieee cairo university student brach | computer club,c10
member,c10
future eyes,c10
reception coordination committee member,c10
microcontrollers pic arduino logic circuits plc matlab,c2
programming php c++ java databases mysql,c2
html javascript css jquery,c2
good awareness asp adobe photoshop adobe flash,c2
training internships,c5
electrical power stations training center north cairo july 2012,c5
arab contractors july 2013,c5
zce zend certified engineer license zend023399,c1
12 egypt achieve highest php accreditation available,c14
php programming language web development,c2
mechanics review online course,c1
massachusetts institute technology edx,c1
introduction statistics probability online course,c1
university california berkeley edx,c1
icdl certificate skill card egy000883496,c1
freelance web developer php programmer,c2
websites developed,c2
lawyers without chains online www bilakoyod net,c2
montaser elzayat online www elzayat org,c14
world wide islamic prayer times,c2
freedom committee bar association,c10
arab alliance settling disputes,c10
guevara internet caf manager maadi caro,c10
web designer developer + manager,c2
arabic mother language,c4
english fluent,c4
french beginner,c4
obtain internship engineering field utilize education skills benefit,c11
training place acquire experience grow,c11
faculty engineering cairo university september 2011 till,c12
second year communications electronics department,c9
first year grade excellent ranked 12th,c13
preparatory year grade excellent ranked 14th,c13
sorour language school 2009 2011,c11
general secondary certificate score 100 6% ranked 5th egypt,c11
extracurricular activities,c10
google student ambassador gsa 2013 2014,c10
participated google summit amman jordan june july 2013,c10
responsible holding google events throughout academic year,c10
connect google campus performing liaison google cairo university,c10
introduce google products like google drive gmail students utilize education,c10
public relations member ieee cairo university student branch october 2013 till,c10
dealing external organizations media support reflect branchs activities,c10
team member worked organizing communications electronics departments day april,c10
enactus cairo university project team member october 2013 till,c10
non governmental organization uses power entrepreneurship help people need,c10
working social project aims make peoples life better,c10
mobile telecommunications package workshop spring 2014,c10
gsm 3g mobile systems,c10
mobile networks optimization,c14
robotics olympics team member ieee cairo university student branch june 2012 till,c14
robotics team aiming participate robocon 2016 contest,c5
team member angry birds robotics competition first place,c10
steps towards progress stp robotition workshop spring 2012,c10
robotics microcontroller software sessions,c10
team member transportation robot competition,c10
american chamber commerce egypt spring 2012,c10
presentation skills time management leadership,c3
summer internship ibm egypt 14th july 14th august 2013,c5
gdc department project team member developing web mobile applications,c5
worked team status application design using javascript css,c2
benha military electronics company katron june 2013,c5
inar tablet production line plc,c5
ccna smt surface mount technology pcb,c5
programming c++ mikroc html basic matlab basic vhdl,c2
simulation multisim proteus topspice,c2
written non verbal communication skills,c3
presentation skills gave five sessions technical non technical topics well,c3
presenting educational materials colleagues,c3
adaption work different kinds people team well ability work individually,c3
time management involved three student activities year beside social life though,c3
achieve academic success,c3
table tennis player,c11
arabic native,c4
english excellent,c4
make sound position corporate world work enthusiastically team achieve goal,c11
l organization devotion hard work,c3
cairo university faculty engineering,c12
year education forth year,c9
worked customer service representative agent,c5
arab_organization_of_industrialization_ aoi june 2012 2 weeks,c5
training arab british engine company abeco,c5
egyptian_international_motors eim renault_center july 2011 2 weeks,c5
training repairs hall motor association,c5
south_cairo_mills_ scfm __ june 2011 4 weeks,c5
motors inspection pumps repair gears design,c5
outstanding achievement academic year 2012 schlumberger,c11
honored information technology industry development agency itida,c11
academic achievement oct 2013,c11
hard worker spe cairo university chapter season 2012,c11
outstanding achievement academic year 2013 schlumberger,c11
member society petroleum engineers cairo university spe oil gas companies',c10
relations committee,c10
participant spe auc chapter,c10
participant gate student chapter research developing r committee,c10
member resala charity association,c10
participant steps towards progress stp student chapter robotics committee,c10
oil gas skills ogs active member,c10
reading swimming wild life exploring languages,c11
hard worker seeking position company utilizes enhances knowledge,c3
graduated faculty computers information cairo university 2008 2012,c8
computer science major decision support operation research minor,c12
accumulative gpa 3 31/4 00 good,c13
definition daily nutrition system help organize nutrition,c14
system using web application technologies jsps servlets,c14
summer training ibm medicine conflict project web service,c5
compare two medicines conflict using,c14
jee jsp servlet jdbc,c2
summer training ibm tdc insight project management web,c5
application project managers using jee jsp servlet db2,c5
participating acm training faculty computers information,c5
c++ course teaching assistant fci,c1
image text compression programs using algorithms lz77,c14
lzw huffman arithmetic huffman vector quantization scalar,c14
quantization 2d predictive,c14
fanrunoa game java prolog graphics,c14
simple command line interpreter windows java,c14
minesweeper haskell,c14
linear programming application,c14
programming languages,c2
c c++ c# java objective c assembly haskell,c2
