,Sentence,Label
0,msc,Education
1,bsc,Education
2,premasters faculty engineering shams university started 10/2013,Education
3,computer control systems engineering shams university asu,Education
4,general degree,Grade
5,final year grade good,Project
6,asu real time operating system,Others
7,school el mohamadia language school,Others
8,obtaining employment computer engineer experience software hardware,Others
9,engineering fully utilized,Others
10,participating developing new technologies electronics computer industry,Experience
11,embedded systems diploma amit learning 26 1 2013 26 3 2013,Courses
,Major computer engineer,Education
12,embedded systems overview session tiec technology innovation entrepreneurship,Courses
13,"android applications development java essential ""asga academy"" 6 / 2012",Courses
14,c++ course ainshams university,Courses
15,vhdl course september 2011,Courses
16,java course november 2011,Courses
17,one month training invensys 1 7 2012 30 7 2012,Experience
18,training west cairo electrical power station 7 / 2011,Experience
19,computer organization Project using c programming language convert mips assembly code,Techskills
20,machine code,Techskills
21,cpu scheduling using c++ fcfs shortest jobfirst priority rr,Techskills
22,implementation dynamic storage allocation algorithms contiguous memory using c++ first,Techskills
23,fit best fit,Techskills
24,program using c++ capable calculating final value expressions given rpn,Techskills
25,using stack class given knowing algorithm analyze,Techskills
26,linked list Project using c++ programming language Project adds deletes linked list,Project
27,matlab genetic algorithm text recognition image enhancement engines,Techskills
28,graduation Project asu real time operating system,Project
29,objective Project allow developing embedded applications using java,Techskills
30,programming language required build embedded operating system able execute java,Techskills
31,applications operating system free rtos arm7 microcontroller consists three,Techskills
32,3 java virtual machine jvm responsible interpreting executing java binaries,Techskills
33,matlab tools simulink image processing optimal control etc,Techskills
34,microcontroller embedded systems,Techskills
35,hardware description languages verilog vhdl,Techskills
36,languages c c++ java,Techskills
37,software engineering development testing techniques models,Techskills
38,computer networks,Techskills
39,artificial computational intelligence techniques,Techskills
40,digital optimal control systems systems simulations,Techskills
41,languages arabic,Language
42,native language,Language
43,english good,Language
44,automotive moderator student activity,Others
45,2011 2016 computer communication engineering,Education
46,cairo university egypt,Faculty
47,overall grade good,Grade
48,studied subjects circuits electronics programming logic design life skills basic,Techskills
49,engineering accounting management,Techskills
50,igcse saint fatima egypt,Others
51,personal achievements mechanical electrical elds,Techskills
52,arabic fluent,Language
53,english advanced,Language
54,advanced microsoft windows information technology,Techskills
55,intermediate c/c++ microsoft ofce,Techskills
56,beginner matlab vhdl verilog c#,Techskills
57,beginner technical writing teaching,Techskills
58,problem solver innovative handles stress team player supportive,Personalskills
59,like automotive travelling education,Others
60,career opportunity communication embedded fields technical analytical organization,Others
61,communication skills would employed enhanced,Others
62,senior student department electronics communications engineering faculty engineering cairo,Faculty
63,muscles controlled robot graduation Project,Project
64,main objective Project build control robot help people hard,Project
65,tasks robot controlled via several methods main one signals sensors fixed,Project
66,item used Project arduino zigbee ip camera micro controllers robot arm car,Project
67,chapped robot,Project
68,general petroleum company gpc summer training july 2012 september 2013,Experience
69,department communications control department,Experience
70,trained dcs valves motors instrumentation,Experience
71,iron steel egyptian company summer training july 2012 september 2012,Experience
72,department communications department instruments maintains department,Experience
73,trained communication systems sensors,Experience
74,network training center south cairo july 2011,Experience
75,department communications control department,Experience
76,cece communications electronics club engineers july 2010,Others
77,training basics analog digital circuits,Techskills
78,digital signal processing,Techskills
79,advanced communication systems,Techskills
80,computer control systems,Techskills
81,muscles controlled robot graduation Project,Project
82,general purpose microprocessor using vhdl tested onto fpga,Techskills
83,8 bit successive approximation analog digital converter,Project
84,automated wireless controlled via computer line tracking vehicle,Project
85,matlab simulink good,Techskills
86,data structures via c++ good,Techskills
87,simulation software max plus quartus multisim proteus dev c cadence good,Techskills
88,faculty students union 2010 2011,Others
89,sports committee member,Others
90,participant human resources courses,Others
91,cece communications electronics club engineers 2010 2012,Others
92,offers workshops session events trainings students,Others
93,pr committee member 2010 2011,Others
94,hr committee member 2011 2012,Others
95,gate go ahead take experiences 2010 2012,Others
96,marketing committee member,Others
97,faculty acting team 2011 2012,Others
98,coordinator comm 2013 comm 2014 students 3 years row,Others
99,volunteer resala charity org 2009 till,Others
100,arabic native,Language
101,english good,Language
102,seeking creative position develop enhance skills earn experience,Others
103,electronics communication field,Others
104,bachelor electronics communication engineering expected may 2016,Education
105,faculty engineering cairo university,Faculty
106,certificate general secondary education 2011,Others
107,el mosheer ahmed ismail secondary school cairo egypt,Others
108,summer internship benha electronics katron 2013 2 weeks,Experience
109,arabic native language,Language
110,english good,Language
111,coordinating member zewail city friends 2011 2013,Others
112,fundraising public relation member ist inducing scientific thinking 2013 2014,Others
113,youth development Project member ieee cairo university student branch 2013 2014,Others
114,windows internet good,Techskills
115,microsoft office good,Techskills
